TIMESTAMP,DATE,HEADLINE,SOURCE,STORY_ID,RIC,TIMESTAMP_PARSED,FINBERT_POS,FINBERT_NEG,FINBERT_NEU,FINBERT_SCORE,FINBERT_LABEL
2025-08-22 18:22:04.643000+00:00,22/08/2025,Dell Technologies vs. Apple: Which PC Maker Stock is a Better Buy?,NS:ZACKSC,urn:newsml:reuters.com:20250822:nNRAxg8361:1,AAPL.O,2025-08-22 18:22:04.643000+00:00,0.0849565789103508,0.022708449512720108,0.8923349380493164,0.06224812939763069,positive
2025-08-22 19:46:07.199000+00:00,22/08/2025,Masimo files lawsuit against US border patrol amid Apple patent dispute,NS:DATMTR,urn:newsml:reuters.com:20250822:nNRAxg92b1:1,AAPL.O,2025-08-22 19:46:07.199000+00:00,0.01844540797173977,0.9284549355506897,0.053099650889635086,-0.9100095275789499,negative
2025-08-23 02:13:37.468000+00:00,23/08/2025,iPhone 17 Pro vs iPhone 15 Pro: Is it worth an upgrade in two years?,NS:HINDUT,urn:newsml:reuters.com:20250823:nNRAxgc5a8:1,AAPL.O,2025-08-23 02:13:37.468000+00:00,0.3502364754676819,0.014266098849475384,0.6354974508285522,0.3359703766182065,positive
2025-08-23 06:06:12.792000+00:00,23/08/2025,Apple sues ex-employee for allegedly stealing Apple Watch secrets for Oppo: All you need to know,NS:MINTNE,urn:newsml:reuters.com:20250823:nNRAxge1lt:1,AAPL.O,2025-08-23 06:06:12.792000+00:00,0.031325217336416245,0.3347126841545105,0.633962094783783,-0.30338746681809425,negative
2025-08-23 09:55:37.489000+00:00,23/08/2025,iPhone 17 series could be Apple's make-or-break moment with 3 big challenges,NS:HINDUT,urn:newsml:reuters.com:20250823:nNRAxggeko:1,AAPL.O,2025-08-23 09:55:37.489000+00:00,0.3787778913974762,0.011541427113115788,0.6096806526184082,0.3672364642843604,positive
2025-08-24 11:31:36.709000+00:00,24/08/2025,Pune to get its first official Apple Store in early September,NS:INDIAE,urn:newsml:reuters.com:20250824:nNRAxgpoc3:1,AAPL.O,2025-08-24 11:31:36.709000+00:00,0.1841009110212326,0.012169516645371914,0.8037295341491699,0.1719313943758607,positive
2025-08-24 22:01:42.702000+00:00,24/08/2025,"S&P 500 EMINIS EDGE UP 0.04%, NASDAQ FUTURES RISE 0.08%",NS:RTRS,urn:newsml:reuters.com:20250824:nP8N3T00DI:1,AAPL.O,2025-08-24 22:01:42.702000+00:00,0.7805256247520447,0.14313896000385284,0.07633543759584427,0.6373866647481918,positive
2025-08-25 02:28:36.881000+00:00,25/08/2025,"Apple's foldable iPhone arriving next year with four cameras, Touch ID and no SIM card slot: Report",NS:MINTNE,urn:newsml:reuters.com:20250825:nNRAxguk3o:1,AAPL.O,2025-08-25 02:28:36.881000+00:00,0.07354291528463364,0.01109181810170412,0.9153652787208557,0.062451097182929516,positive
2025-08-25 03:30:34.215000+00:00,25/08/2025,"Forget iPhone 17, iPhone Fold tipped for revolutionary upgrades with.",NS:HINDUT,urn:newsml:reuters.com:20250825:nNRAxguzmm:1,AAPL.O,2025-08-25 03:30:34.215000+00:00,0.7520496249198914,0.011464663781225681,0.23648566007614136,0.7405849611386657,positive
2025-08-25 05:31:33.117000+00:00,25/08/2025,Apple's iOS 26 update boosts charging speeds for iPhone 16 series: Here's what's changing,NS:MINTNE,urn:newsml:reuters.com:20250825:nNRAxgw2vb:1,AAPL.O,2025-08-25 05:31:33.117000+00:00,0.40996915102005005,0.019267607480287552,0.5707632303237915,0.3907015435397625,positive
